fftBuffer[0].real, 0xC160, ,C160,49504
fftBuffer[0].imag, 0x0000, ,0000,0
fftBuffer[1].real, 0x0020, ,0020,32
fftBuffer[1].imag, 0x0000, ,0000,0
fftBuffer[2].real, 0x0000, ,0000,0
fftBuffer[2].imag, 0x0000, ,0000,0
fftBuffer[3].real, 0x0000, ,0000,0
fftBuffer[3].imag, 0x0000, ,0000,0
fftBuffer[4].real, 0x0020, ,0020,32
fftBuffer[4].imag, 0xFFE0, ,FFE0,65504
fftBuffer[5].real, 0x0020, ,0020,32
fftBuffer[5].imag, 0x0020, ,0020,32
fftBuffer[6].real, 0x0020, ,0020,32
fftBuffer[6].imag, 0x0000, ,0000,0
fftBuffer[7].real, 0x0020, ,0020,32
fftBuffer[7].imag, 0x0000, ,0000,0
fftBuffer[8].real, 0xFFEA, ,FFEA,65514
fftBuffer[8].imag, 0xFFEA, ,FFEA,65514
fftBuffer[9].real, 0x0016, ,0016,22
fftBuffer[9].imag, 0x0016, ,0016,22
fftBuffer[10].real, 0x0000, ,0000,0
fftBuffer[10].imag, 0x0000, ,0000,0
fftBuffer[11].real, 0x0000, ,0000,0
fftBuffer[11].imag, 0x0000, ,0000,0
fftBuffer[12].real, 0x0000, ,0000,0
fftBuffer[12].imag, 0x0000, ,0000,0
fftBuffer[13].real, 0x0000, ,0000,0
fftBuffer[13].imag, 0x0000, ,0000,0
fftBuffer[14].real, 0x0000, ,0000,0
fftBuffer[14].imag, 0x0000, ,0000,0
fftBuffer[15].real, 0x0000, ,0000,0
fftBuffer[15].imag, 0x0000, ,0000,0
fftBuffer[16].real, 0x0020, ,0020,32
fftBuffer[16].imag, 0xFF60, ,FF60,65376
fftBuffer[17].real, 0x0020, ,0020,32
fftBuffer[17].imag, 0x0006, ,0006,6
fftBuffer[18].real, 0x0020, ,0020,32
fftBuffer[18].imag, 0x000D, ,000D,13
fftBuffer[19].real, 0x0020, ,0020,32
fftBuffer[19].imag, 0x000D, ,000D,13
fftBuffer[20].real, 0x0031, ,0031,49
fftBuffer[20].imag, 0xFFF6, ,FFF6,65526
fftBuffer[21].real, 0x000F, ,000F,15
fftBuffer[21].imag, 0x004A, ,004A,74
fftBuffer[22].real, 0x0020, ,0020,32
fftBuffer[22].imag, 0x0020, ,0020,32
fftBuffer[23].real, 0x0020, ,0020,32
fftBuffer[23].imag, 0x0020, ,0020,32
fftBuffer[24].real, 0xFFF8, ,FFF8,65528
fftBuffer[24].imag, 0xFFD8, ,FFD8,65496
fftBuffer[25].real, 0x001A, ,001A,26
fftBuffer[25].imag, 0xFFFB, ,FFFB,65531
fftBuffer[26].real, 0x0036, ,0036,54
fftBuffer[26].imag, 0x0016, ,0016,22
fftBuffer[27].real, 0x0036, ,0036,54
fftBuffer[27].imag, 0x0016, ,0016,22
fftBuffer[28].real, 0x0002, ,0002,2
fftBuffer[28].imag, 0xFFF4, ,FFF4,65524
fftBuffer[29].real, 0x003D, ,003D,61
fftBuffer[29].imag, 0x000C, ,000C,12
fftBuffer[30].real, 0x0020, ,0020,32
fftBuffer[30].imag, 0x0000, ,0000,0
fftBuffer[31].real, 0x0020, ,0020,32
fftBuffer[31].imag, 0x0000, ,0000,0
fftBuffer[32].real, 0x00A0, ,00A0,160
fftBuffer[32].imag, 0xFF11, ,FF11,65297
fftBuffer[33].real, 0x0008, ,0008,8
fftBuffer[33].imag, 0xFFF3, ,FFF3,65523
fftBuffer[34].real, 0x0019, ,0019,25
fftBuffer[34].imag, 0x0010, ,0010,16
fftBuffer[35].real, 0x0019, ,0019,25
fftBuffer[35].imag, 0x0010, ,0010,16
fftBuffer[36].real, 0xFFFE, ,FFFE,65534
fftBuffer[36].imag, 0xFFF0, ,FFF0,65520
fftBuffer[37].real, 0x0014, ,0014,20
fftBuffer[37].imag, 0xFFFF, ,FFFF,65535
fftBuffer[38].real, 0x0009, ,0009,9
fftBuffer[38].imag, 0xFFF7, ,FFF7,65527
fftBuffer[39].real, 0x0009, ,0009,9
fftBuffer[39].imag, 0xFFF7, ,FFF7,65527
fftBuffer[40].real, 0x003E, ,003E,62
fftBuffer[40].imag, 0xFFE7, ,FFE7,65511
fftBuffer[41].real, 0x0024, ,0024,36
fftBuffer[41].imag, 0x0005, ,0005,5
fftBuffer[42].real, 0x000E, ,000E,14
fftBuffer[42].imag, 0x004A, ,004A,74
fftBuffer[43].real, 0x000E, ,000E,14
fftBuffer[43].imag, 0x0049, ,0049,73
fftBuffer[44].real, 0x0017, ,0017,23
fftBuffer[44].imag, 0xFFF4, ,FFF4,65524
fftBuffer[45].real, 0x0029, ,0029,41
fftBuffer[45].imag, 0x004C, ,004C,76
fftBuffer[46].real, 0x0020, ,0020,32
fftBuffer[46].imag, 0x0020, ,0020,32
fftBuffer[47].real, 0x0020, ,0020,32
fftBuffer[47].imag, 0x0020, ,0020,32
fftBuffer[48].real, 0xFFDB, ,FFDB,65499
fftBuffer[48].imag, 0xFFBB, ,FFBB,65467
fftBuffer[49].real, 0x0015, ,0015,21
fftBuffer[49].imag, 0xFFF5, ,FFF5,65525
fftBuffer[50].real, 0x001A, ,001A,26
fftBuffer[50].imag, 0xFFFB, ,FFFB,65531
fftBuffer[51].real, 0x001A, ,001A,26
fftBuffer[51].imag, 0xFFFB, ,FFFB,65531
fftBuffer[52].real, 0x002B, ,002B,43
fftBuffer[52].imag, 0xFFDC, ,FFDC,65500
fftBuffer[53].real, 0x0042, ,0042,66
fftBuffer[53].imag, 0x0050, ,0050,80
fftBuffer[54].real, 0x0036, ,0036,54
fftBuffer[54].imag, 0x0016, ,0016,22
fftBuffer[55].real, 0x0036, ,0036,54
fftBuffer[55].imag, 0x0016, ,0016,22
fftBuffer[56].real, 0xFFF7, ,FFF7,65527
fftBuffer[56].imag, 0xFFEF, ,FFEF,65519
fftBuffer[57].real, 0x000E, ,000E,14
fftBuffer[57].imag, 0xFFF9, ,FFF9,65529
fftBuffer[58].real, 0x003E, ,003E,62
fftBuffer[58].imag, 0x000C, ,000C,12
fftBuffer[59].real, 0x003D, ,003D,61
fftBuffer[59].imag, 0x000C, ,000C,12
fftBuffer[60].real, 0x0000, ,0000,0
fftBuffer[60].imag, 0xFFFA, ,FFFA,65530
fftBuffer[61].real, 0x003F, ,003F,63
fftBuffer[61].imag, 0x0006, ,0006,6
fftBuffer[62].real, 0x0020, ,0020,32
fftBuffer[62].imag, 0x0000, ,0000,0
fftBuffer[63].real, 0x0020, ,0020,32
fftBuffer[63].imag, 0x0000, ,0000,0
fftBuffer[64].real, 0x0128, ,0128,296
fftBuffer[64].imag, 0xFF62, ,FF62,65378
fftBuffer[65].real, 0x0018, ,0018,24
fftBuffer[65].imag, 0xFFF3, ,FFF3,65523
fftBuffer[66].real, 0x0008, ,0008,8
fftBuffer[66].imag, 0x0010, ,0010,16
fftBuffer[67].real, 0x0008, ,0008,8
fftBuffer[67].imag, 0x000F, ,000F,15
fftBuffer[68].real, 0x000C, ,000C,12
fftBuffer[68].imag, 0xFFDE, ,FFDE,65502
fftBuffer[69].real, 0x0026, ,0026,38
fftBuffer[69].imag, 0x000E, ,000E,14
fftBuffer[70].real, 0x0019, ,0019,25
fftBuffer[70].imag, 0xFFF6, ,FFF6,65526
fftBuffer[71].real, 0x0019, ,0019,25
fftBuffer[71].imag, 0xFFF6, ,FFF6,65526
fftBuffer[72].real, 0x0019, ,0019,25
fftBuffer[72].imag, 0x0001, ,0001,1
fftBuffer[73].real, 0x0023, ,0023,35
fftBuffer[73].imag, 0x0011, ,0011,17
fftBuffer[74].real, 0xFFF5, ,FFF5,65525
fftBuffer[74].imag, 0x0024, ,0024,36
fftBuffer[75].real, 0xFFF5, ,FFF5,65525
fftBuffer[75].imag, 0x0024, ,0024,36
fftBuffer[76].real, 0x0010, ,0010,16
fftBuffer[76].imag, 0xFFFF, ,FFFF,65535
fftBuffer[77].real, 0x0002, ,0002,2
fftBuffer[77].imag, 0x002E, ,002E,46
fftBuffer[78].real, 0x0009, ,0009,9
fftBuffer[78].imag, 0x0016, ,0016,22
fftBuffer[79].real, 0x0009, ,0009,9
fftBuffer[79].imag, 0x0016, ,0016,22
fftBuffer[80].real, 0xFFEE, ,FFEE,65518
fftBuffer[80].imag, 0xFF88, ,FF88,65416
fftBuffer[81].real, 0x001E, ,001E,30
fftBuffer[81].imag, 0xFFFC, ,FFFC,65532
fftBuffer[82].real, 0x0021, ,0021,33
fftBuffer[82].imag, 0x0004, ,0004,4
fftBuffer[83].real, 0x0021, ,0021,33
fftBuffer[83].imag, 0x0003, ,0003,3
fftBuffer[84].real, 0x0031, ,0031,49
fftBuffer[84].imag, 0xFFE8, ,FFE8,65512
fftBuffer[85].real, 0x0027, ,0027,39
fftBuffer[85].imag, 0x0052, ,0052,82
fftBuffer[86].real, 0x002C, ,002C,44
fftBuffer[86].imag, 0x001E, ,001E,30
fftBuffer[87].real, 0x002C, ,002C,44
fftBuffer[87].imag, 0x001D, ,001D,29
fftBuffer[88].real, 0xFFF6, ,FFF6,65526
fftBuffer[88].imag, 0xFFE4, ,FFE4,65508
fftBuffer[89].real, 0x0014, ,0014,20
fftBuffer[89].imag, 0xFFF8, ,FFF8,65528
fftBuffer[90].real, 0x003A, ,003A,58
fftBuffer[90].imag, 0x0012, ,0012,18
fftBuffer[91].real, 0x003A, ,003A,58
fftBuffer[91].imag, 0x0011, ,0011,17
fftBuffer[92].real, 0x0002, ,0002,2
fftBuffer[92].imag, 0xFFF6, ,FFF6,65526
fftBuffer[93].real, 0x003E, ,003E,62
fftBuffer[93].imag, 0x0009, ,0009,9
fftBuffer[94].real, 0x0020, ,0020,32
fftBuffer[94].imag, 0x0000, ,0000,0
fftBuffer[95].real, 0x0020, ,0020,32
fftBuffer[95].imag, 0x0000, ,0000,0
fftBuffer[96].real, 0x0015, ,0015,21
fftBuffer[96].imag, 0xFF28, ,FF28,65320
fftBuffer[97].real, 0x0000, ,0000,0
fftBuffer[97].imag, 0x0001, ,0001,1
fftBuffer[98].real, 0x0020, ,0020,32
fftBuffer[98].imag, 0x0004, ,0004,4
fftBuffer[99].real, 0x0020, ,0020,32
fftBuffer[99].imag, 0x0003, ,0003,3
fftBuffer[100].real, 0x0004, ,0004,4
fftBuffer[100].imag, 0x0008, ,0008,8
fftBuffer[101].real, 0xFFF6, ,FFF6,65526
fftBuffer[101].imag, 0x0006, ,0006,6
fftBuffer[102].real, 0xFFFE, ,FFFE,65534
fftBuffer[102].imag, 0x0006, ,0006,6
fftBuffer[103].real, 0xFFFE, ,FFFE,65534
fftBuffer[103].imag, 0x0006, ,0006,6
fftBuffer[104].real, 0x0039, ,0039,57
fftBuffer[104].imag, 0xFFBA, ,FFBA,65466
fftBuffer[105].real, 0x001D, ,001D,29
fftBuffer[105].imag, 0xFFFF, ,FFFF,65535
fftBuffer[106].real, 0x0042, ,0042,66
fftBuffer[106].imag, 0x0050, ,0050,80
fftBuffer[107].real, 0x0042, ,0042,66
fftBuffer[107].imag, 0x0050, ,0050,80
fftBuffer[108].real, 0x0011, ,0011,17
fftBuffer[108].imag, 0xFFE8, ,FFE8,65512
fftBuffer[109].real, 0x005C, ,005C,92
fftBuffer[109].imag, 0x0044, ,0044,68
fftBuffer[110].real, 0x0036, ,0036,54
fftBuffer[110].imag, 0x0016, ,0016,22
fftBuffer[111].real, 0x0036, ,0036,54
fftBuffer[111].imag, 0x0016, ,0016,22
fftBuffer[112].real, 0xFFE5, ,FFE5,65509
fftBuffer[112].imag, 0xFFE8, ,FFE8,65512
fftBuffer[113].real, 0x0009, ,0009,9
fftBuffer[113].imag, 0xFFF7, ,FFF7,65527
fftBuffer[114].real, 0x000E, ,000E,14
fftBuffer[114].imag, 0xFFF8, ,FFF8,65528
fftBuffer[115].real, 0x000E, ,000E,14
fftBuffer[115].imag, 0xFFF9, ,FFF9,65529
fftBuffer[116].real, 0x0020, ,0020,32
fftBuffer[116].imag, 0xFFD4, ,FFD4,65492
fftBuffer[117].real, 0x005B, ,005B,91
fftBuffer[117].imag, 0x0043, ,0043,67
fftBuffer[118].real, 0x003E, ,003E,62
fftBuffer[118].imag, 0x000C, ,000C,12
fftBuffer[119].real, 0x003D, ,003D,61
fftBuffer[119].imag, 0x000C, ,000C,12
fftBuffer[120].real, 0xFFFA, ,FFFA,65530
fftBuffer[120].imag, 0xFFF8, ,FFF8,65528
fftBuffer[121].real, 0x0007, ,0007,7
fftBuffer[121].imag, 0xFFFC, ,FFFC,65532
fftBuffer[122].real, 0x0040, ,0040,64
fftBuffer[122].imag, 0x0006, ,0006,6
fftBuffer[123].real, 0x003F, ,003F,63
fftBuffer[123].imag, 0x0006, ,0006,6
fftBuffer[124].real, 0x0000, ,0000,0
fftBuffer[124].imag, 0xFFFD, ,FFFD,65533
fftBuffer[125].real, 0x0040, ,0040,64
fftBuffer[125].imag, 0x0003, ,0003,3
fftBuffer[126].real, 0x0020, ,0020,32
fftBuffer[126].imag, 0x0000, ,0000,0
fftBuffer[127].real, 0x0020, ,0020,32
fftBuffer[127].imag, 0x0000, ,0000,0
fftBuffer[128].real, 0x0152, ,0152,338
fftBuffer[128].imag, 0xFFAC, ,FFAC,65452
fftBuffer[129].real, 0x001E, ,001E,30
fftBuffer[129].imag, 0xFFF9, ,FFF9,65529
fftBuffer[130].real, 0x0002, ,0002,2
fftBuffer[130].imag, 0x0009, ,0009,9
fftBuffer[131].real, 0x0002, ,0002,2
fftBuffer[131].imag, 0x0009, ,0009,9
fftBuffer[132].real, 0x0016, ,0016,22
fftBuffer[132].imag, 0xFFDC, ,FFDC,65500
fftBuffer[133].real, 0x0025, ,0025,37
fftBuffer[133].imag, 0x0018, ,0018,24
fftBuffer[134].real, 0x001E, ,001E,30
fftBuffer[134].imag, 0xFFFA, ,FFFA,65530
fftBuffer[135].real, 0x001E, ,001E,30
fftBuffer[135].imag, 0xFFFA, ,FFFA,65530
fftBuffer[136].real, 0x0000, ,0000,0
fftBuffer[136].imag, 0xFFFC, ,FFFC,65532
fftBuffer[137].real, 0x001D, ,001D,29
fftBuffer[137].imag, 0x0015, ,0015,21
fftBuffer[138].real, 0xFFF6, ,FFF6,65526
fftBuffer[138].imag, 0x0010, ,0010,16
fftBuffer[139].real, 0xFFF7, ,FFF7,65527
fftBuffer[139].imag, 0x000F, ,000F,15
fftBuffer[140].real, 0x0008, ,0008,8
fftBuffer[140].imag, 0x0001, ,0001,1
fftBuffer[141].real, 0xFFFC, ,FFFC,65532
fftBuffer[141].imag, 0x0017, ,0017,23
fftBuffer[142].real, 0x0002, ,0002,2
fftBuffer[142].imag, 0x000C, ,000C,12
fftBuffer[143].real, 0x0002, ,0002,2
fftBuffer[143].imag, 0x000C, ,000C,12
fftBuffer[144].real, 0x0004, ,0004,4
fftBuffer[144].imag, 0xFF71, ,FF71,65393
fftBuffer[145].real, 0x0020, ,0020,32
fftBuffer[145].imag, 0x0001, ,0001,1
fftBuffer[146].real, 0x0022, ,0022,34
fftBuffer[146].imag, 0x0008, ,0008,8
fftBuffer[147].real, 0x0021, ,0021,33
fftBuffer[147].imag, 0x0008, ,0008,8
fftBuffer[148].real, 0x0032, ,0032,50
fftBuffer[148].imag, 0xFFEF, ,FFEF,65519
fftBuffer[149].real, 0x001A, ,001A,26
fftBuffer[149].imag, 0x004F, ,004F,79
fftBuffer[150].real, 0x0026, ,0026,38
fftBuffer[150].imag, 0x001F, ,001F,31
fftBuffer[151].real, 0x0026, ,0026,38
fftBuffer[151].imag, 0x001F, ,001F,31
fftBuffer[152].real, 0xFFF6, ,FFF6,65526
fftBuffer[152].imag, 0xFFDE, ,FFDE,65502
fftBuffer[153].real, 0x0018, ,0018,24
fftBuffer[153].imag, 0xFFFA, ,FFFA,65530
fftBuffer[154].real, 0x0038, ,0038,56
fftBuffer[154].imag, 0x0014, ,0014,20
fftBuffer[155].real, 0x0038, ,0038,56
fftBuffer[155].imag, 0x0014, ,0014,20
fftBuffer[156].real, 0x0002, ,0002,2
fftBuffer[156].imag, 0xFFF5, ,FFF5,65525
fftBuffer[157].real, 0x003E, ,003E,62
fftBuffer[157].imag, 0x000B, ,000B,11
fftBuffer[158].real, 0x0020, ,0020,32
fftBuffer[158].imag, 0x0000, ,0000,0
fftBuffer[159].real, 0x0020, ,0020,32
fftBuffer[159].imag, 0x0000, ,0000,0
fftBuffer[160].real, 0x0056, ,0056,86
fftBuffer[160].imag, 0xFF10, ,FF10,65296
fftBuffer[161].real, 0x0002, ,0002,2
fftBuffer[161].imag, 0xFFFA, ,FFFA,65530
fftBuffer[162].real, 0x001F, ,001F,31
fftBuffer[162].imag, 0x000B, ,000B,11
fftBuffer[163].real, 0x001F, ,001F,31
fftBuffer[163].imag, 0x000B, ,000B,11
fftBuffer[164].real, 0xFFFE, ,FFFE,65534
fftBuffer[164].imag, 0xFFFC, ,FFFC,65532
fftBuffer[165].real, 0x0005, ,0005,5
fftBuffer[165].imag, 0xFFFE, ,FFFE,65534
fftBuffer[166].real, 0x0002, ,0002,2
fftBuffer[166].imag, 0xFFFE, ,FFFE,65534
fftBuffer[167].real, 0x0002, ,0002,2
fftBuffer[167].imag, 0xFFFE, ,FFFE,65534
fftBuffer[168].real, 0x0041, ,0041,65
fftBuffer[168].imag, 0xFFD0, ,FFD0,65488
fftBuffer[169].real, 0x0021, ,0021,33
fftBuffer[169].imag, 0x0000, ,0000,0
fftBuffer[170].real, 0x0027, ,0027,39
fftBuffer[170].imag, 0x0052, ,0052,82
fftBuffer[171].real, 0x0027, ,0027,39
fftBuffer[171].imag, 0x0052, ,0052,82
fftBuffer[172].real, 0x0015, ,0015,21
fftBuffer[172].imag, 0xFFEE, ,FFEE,65518
fftBuffer[173].real, 0x0043, ,0043,67
fftBuffer[173].imag, 0x004D, ,004D,77
fftBuffer[174].real, 0x002C, ,002C,44
fftBuffer[174].imag, 0x001E, ,001E,30
fftBuffer[175].real, 0x002C, ,002C,44
fftBuffer[175].imag, 0x001D, ,001D,29
fftBuffer[176].real, 0xFFDD, ,FFDD,65501
fftBuffer[176].imag, 0xFFD4, ,FFD4,65492
fftBuffer[177].real, 0x000F, ,000F,15
fftBuffer[177].imag, 0xFFF5, ,FFF5,65525
fftBuffer[178].real, 0x0015, ,0015,21
fftBuffer[178].imag, 0xFFF9, ,FFF9,65529
fftBuffer[179].real, 0x0015, ,0015,21
fftBuffer[179].imag, 0xFFF9, ,FFF9,65529
fftBuffer[180].real, 0x0026, ,0026,38
fftBuffer[180].imag, 0xFFD8, ,FFD8,65496
fftBuffer[181].real, 0x004F, ,004F,79
fftBuffer[181].imag, 0x004C, ,004C,76
fftBuffer[182].real, 0x003A, ,003A,58
fftBuffer[182].imag, 0x0012, ,0012,18
fftBuffer[183].real, 0x003A, ,003A,58
fftBuffer[183].imag, 0x0011, ,0011,17
fftBuffer[184].real, 0xFFF8, ,FFF8,65528
fftBuffer[184].imag, 0xFFF4, ,FFF4,65524
fftBuffer[185].real, 0x000A, ,000A,10
fftBuffer[185].imag, 0xFFFA, ,FFFA,65530
fftBuffer[186].real, 0x003E, ,003E,62
fftBuffer[186].imag, 0x0009, ,0009,9
fftBuffer[187].real, 0x003E, ,003E,62
fftBuffer[187].imag, 0x0009, ,0009,9
fftBuffer[188].real, 0x0000, ,0000,0
fftBuffer[188].imag, 0xFFFB, ,FFFB,65531
fftBuffer[189].real, 0x003F, ,003F,63
fftBuffer[189].imag, 0x0005, ,0005,5
fftBuffer[190].real, 0x0020, ,0020,32
fftBuffer[190].imag, 0x0000, ,0000,0
fftBuffer[191].real, 0x0020, ,0020,32
fftBuffer[191].imag, 0x0000, ,0000,0
fftBuffer[192].real, 0x00EA, ,00EA,234
fftBuffer[192].imag, 0xFF2C, ,FF2C,65324
fftBuffer[193].real, 0x0010, ,0010,16
fftBuffer[193].imag, 0xFFF2, ,FFF2,65522
fftBuffer[194].real, 0x0011, ,0011,17
fftBuffer[194].imag, 0x0012, ,0012,18
fftBuffer[195].real, 0x0011, ,0011,17
fftBuffer[195].imag, 0x0012, ,0012,18
fftBuffer[196].real, 0x0004, ,0004,4
fftBuffer[196].imag, 0xFFE4, ,FFE4,65508
fftBuffer[197].real, 0x001F, ,001F,31
fftBuffer[197].imag, 0x0003, ,0003,3
fftBuffer[198].real, 0x0012, ,0012,18
fftBuffer[198].imag, 0xFFF4, ,FFF4,65524
fftBuffer[199].real, 0x0011, ,0011,17
fftBuffer[199].imag, 0xFFF5, ,FFF5,65525
fftBuffer[200].real, 0x0030, ,0030,48
fftBuffer[200].imag, 0xFFF9, ,FFF9,65529
fftBuffer[201].real, 0x0024, ,0024,36
fftBuffer[201].imag, 0x000B, ,000B,11
fftBuffer[202].real, 0xFFFE, ,FFFE,65534
fftBuffer[202].imag, 0x0039, ,0039,57
fftBuffer[203].real, 0xFFFE, ,FFFE,65534
fftBuffer[203].imag, 0x0039, ,0039,57
fftBuffer[204].real, 0x0016, ,0016,22
fftBuffer[204].imag, 0xFFFA, ,FFFA,65530
fftBuffer[205].real, 0x0012, ,0012,18
fftBuffer[205].imag, 0x0041, ,0041,65
fftBuffer[206].real, 0x0014, ,0014,20
fftBuffer[206].imag, 0x001E, ,001E,30
fftBuffer[207].real, 0x0013, ,0013,19
fftBuffer[207].imag, 0x001D, ,001D,29
fftBuffer[208].real, 0xFFE0, ,FFE0,65504
fftBuffer[208].imag, 0xFFA2, ,FFA2,65442
fftBuffer[209].real, 0x001A, ,001A,26
fftBuffer[209].imag, 0xFFF8, ,FFF8,65528
fftBuffer[210].real, 0x001F, ,001F,31
fftBuffer[210].imag, 0xFFFE, ,FFFE,65534
fftBuffer[211].real, 0x001F, ,001F,31
fftBuffer[211].imag, 0xFFFF, ,FFFF,65535
fftBuffer[212].real, 0x002F, ,002F,47
fftBuffer[212].imag, 0xFFE2, ,FFE2,65506
fftBuffer[213].real, 0x0035, ,0035,53
fftBuffer[213].imag, 0x0053, ,0053,83
fftBuffer[214].real, 0x0032, ,0032,50
fftBuffer[214].imag, 0x001A, ,001A,26
fftBuffer[215].real, 0x0031, ,0031,49
fftBuffer[215].imag, 0x001A, ,001A,26
fftBuffer[216].real, 0xFFF6, ,FFF6,65526
fftBuffer[216].imag, 0xFFEA, ,FFEA,65514
fftBuffer[217].real, 0x0012, ,0012,18
fftBuffer[217].imag, 0xFFF8, ,FFF8,65528
fftBuffer[218].real, 0x003C, ,003C,60
fftBuffer[218].imag, 0x000F, ,000F,15
fftBuffer[219].real, 0x003C, ,003C,60
fftBuffer[219].imag, 0x000F, ,000F,15
fftBuffer[220].real, 0x0001, ,0001,1
fftBuffer[220].imag, 0xFFF8, ,FFF8,65528
fftBuffer[221].real, 0x003F, ,003F,63
fftBuffer[221].imag, 0x0008, ,0008,8
fftBuffer[222].real, 0x0020, ,0020,32
fftBuffer[222].imag, 0x0000, ,0000,0
fftBuffer[223].real, 0x0020, ,0020,32
fftBuffer[223].imag, 0x0000, ,0000,0
fftBuffer[224].real, 0xFFE6, ,FFE6,65510
fftBuffer[224].imag, 0xFF50, ,FF50,65360
fftBuffer[225].real, 0x0002, ,0002,2
fftBuffer[225].imag, 0x000A, ,000A,10
fftBuffer[226].real, 0x001E, ,001E,30
fftBuffer[226].imag, 0xFFFC, ,FFFC,65532
fftBuffer[227].real, 0x001D, ,001D,29
fftBuffer[227].imag, 0xFFFC, ,FFFC,65532
fftBuffer[228].real, 0x0010, ,0010,16
fftBuffer[228].imag, 0x0010, ,0010,16
fftBuffer[229].real, 0xFFE9, ,FFE9,65513
fftBuffer[229].imag, 0x0016, ,0016,22
fftBuffer[230].real, 0xFFFC, ,FFFC,65532
fftBuffer[230].imag, 0x0013, ,0013,19
fftBuffer[231].real, 0xFFFD, ,FFFD,65533
fftBuffer[231].imag, 0x0013, ,0013,19
fftBuffer[232].real, 0x0026, ,0026,38
fftBuffer[232].imag, 0xFFAA, ,FFAA,65450
fftBuffer[233].real, 0x0019, ,0019,25
fftBuffer[233].imag, 0x0000, ,0000,0
fftBuffer[234].real, 0x005B, ,005B,91
fftBuffer[234].imag, 0x0044, ,0044,68
fftBuffer[235].real, 0x005B, ,005B,91
fftBuffer[235].imag, 0x0043, ,0043,67
fftBuffer[236].real, 0x000B, ,000B,11
fftBuffer[236].imag, 0xFFE6, ,FFE6,65510
fftBuffer[237].real, 0x0070, ,0070,112
fftBuffer[237].imag, 0x0031, ,0031,49
fftBuffer[238].real, 0x003E, ,003E,62
fftBuffer[238].imag, 0x000C, ,000C,12
fftBuffer[239].real, 0x003D, ,003D,61
fftBuffer[239].imag, 0x000C, ,000C,12
fftBuffer[240].real, 0xFFF2, ,FFF2,65522
fftBuffer[240].imag, 0xFFF6, ,FFF6,65526
fftBuffer[241].real, 0x0003, ,0003,3
fftBuffer[241].imag, 0xFFFB, ,FFFB,65531
fftBuffer[242].real, 0x0006, ,0006,6
fftBuffer[242].imag, 0xFFFB, ,FFFB,65531
fftBuffer[243].real, 0x0006, ,0006,6
fftBuffer[243].imag, 0xFFFB, ,FFFB,65531
fftBuffer[244].real, 0x0019, ,0019,25
fftBuffer[244].imag, 0xFFD3, ,FFD3,65491
fftBuffer[245].real, 0x0065, ,0065,101
fftBuffer[245].imag, 0x0039, ,0039,57
fftBuffer[246].real, 0x003F, ,003F,63
fftBuffer[246].imag, 0x0006, ,0006,6
fftBuffer[247].real, 0x003F, ,003F,63
fftBuffer[247].imag, 0x0006, ,0006,6
fftBuffer[248].real, 0xFFFD, ,FFFD,65533
fftBuffer[248].imag, 0xFFFD, ,FFFD,65533
fftBuffer[249].real, 0x0003, ,0003,3
fftBuffer[249].imag, 0xFFFD, ,FFFD,65533
fftBuffer[250].real, 0x0040, ,0040,64
fftBuffer[250].imag, 0x0003, ,0003,3
fftBuffer[251].real, 0x0040, ,0040,64
fftBuffer[251].imag, 0x0003, ,0003,3
fftBuffer[252].real, 0x0000, ,0000,0
fftBuffer[252].imag, 0xFFFE, ,FFFE,65534
fftBuffer[253].real, 0x0040, ,0040,64
fftBuffer[253].imag, 0x0001, ,0001,1
fftBuffer[254].real, 0x0020, ,0020,32
fftBuffer[254].imag, 0x0000, ,0000,0
fftBuffer[255].real, 0x0020, ,0020,32
fftBuffer[255].imag, 0x0000, ,0000,0
fftBuffer[256].real, 0x015C, ,015C,348
fftBuffer[256].imag, 0xFFD4, ,FFD4,65492
fftBuffer[257].real, 0x001F, ,001F,31
